"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","83/1625","321/18903",2.09011356504918e-20,1.04012202862465e-16,8.41675372224797e-17,"ANTXR1/PTX3/COL6A5/ADAMTSL1/RIC8A/CREB3L1/COL8A2/COL9A2/ADAMTS20/CTSV/MMP17/CTSS/LAMB4/MYF5/TGM1/COL1A1/FKBP10/NOTCH1/TNXB/FLOT1/COL5A1/FBLN5/NID2/THSD4/ANXA2/MMP15/APLP1/CRISPLD2/QSOX1/COL24A1/ITGA8/COL28A1/COL1A2/COL6A6/COLQ/LAMB2/NTN4/FBLN2/SMOC1/EFEMP2/CAV2/COL9A3/PXDN/FGFR4/MFAP4/COL23A1/COL2A1/LRP1/NDNF/CHADL/SOX9/COL19A1/COL9A1/SMOC2/LAMA2/SULF1/MMP16/COL14A1/ADAMTS3/NPNT/SFRP2/LOXL3/LOXL4/ADAMTS1/DPT/TCF15/COL4A1/COL4A2/GAS6/ABI3BP/GPM6B/MMP1/MMP13/ADAMTS13/OLFML2A/COL18A1/DDR2/ADAMTS15/ADAMTS8/COL3A1/CCN1/NTNG1/COL11A1",83
"GO:0030198","extracellular matrix organization","82/1625","318/18903",4.28308492460033e-20,1.04012202862465e-16,8.41675372224797e-17,"ANTXR1/PTX3/COL6A5/ADAMTSL1/RIC8A/CREB3L1/COL8A2/COL9A2/ADAMTS20/CTSV/MMP17/CTSS/LAMB4/MYF5/COL1A1/FKBP10/NOTCH1/TNXB/FLOT1/COL5A1/FBLN5/NID2/THSD4/ANXA2/MMP15/APLP1/CRISPLD2/QSOX1/COL24A1/ITGA8/COL28A1/COL1A2/COL6A6/COLQ/LAMB2/NTN4/FBLN2/SMOC1/EFEMP2/CAV2/COL9A3/PXDN/FGFR4/MFAP4/COL23A1/COL2A1/LRP1/NDNF/CHADL/SOX9/COL19A1/COL9A1/SMOC2/LAMA2/SULF1/MMP16/COL14A1/ADAMTS3/NPNT/SFRP2/LOXL3/LOXL4/ADAMTS1/DPT/TCF15/COL4A1/COL4A2/GAS6/ABI3BP/GPM6B/MMP1/MMP13/ADAMTS13/OLFML2A/COL18A1/DDR2/ADAMTS15/ADAMTS8/COL3A1/CCN1/NTNG1/COL11A1",82
"GO:0043062","extracellular structure organization","82/1625","319/18903",5.29413994888694e-20,1.04012202862465e-16,8.41675372224797e-17,"ANTXR1/PTX3/COL6A5/ADAMTSL1/RIC8A/CREB3L1/COL8A2/COL9A2/ADAMTS20/CTSV/MMP17/CTSS/LAMB4/MYF5/COL1A1/FKBP10/NOTCH1/TNXB/FLOT1/COL5A1/FBLN5/NID2/THSD4/ANXA2/MMP15/APLP1/CRISPLD2/QSOX1/COL24A1/ITGA8/COL28A1/COL1A2/COL6A6/COLQ/LAMB2/NTN4/FBLN2/SMOC1/EFEMP2/CAV2/COL9A3/PXDN/FGFR4/MFAP4/COL23A1/COL2A1/LRP1/NDNF/CHADL/SOX9/COL19A1/COL9A1/SMOC2/LAMA2/SULF1/MMP16/COL14A1/ADAMTS3/NPNT/SFRP2/LOXL3/LOXL4/ADAMTS1/DPT/TCF15/COL4A1/COL4A2/GAS6/ABI3BP/GPM6B/MMP1/MMP13/ADAMTS13/OLFML2A/COL18A1/DDR2/ADAMTS15/ADAMTS8/COL3A1/CCN1/NTNG1/COL11A1",82
"GO:0003012","muscle system process","102/1625","455/18903",7.91118107703459e-20,1.16571253170105e-16,9.4330424894852e-17,"TBX3/ADRA2B/IL1B/PGAM2/TACR1/STC1/CHRND/KBTBD13/SYNM/MEF2A/GATM/KCNQ1/CSRP3/TPCN2/SLC9A1/MYOM3/CACNA2D1/PKP2/ABCC9/SMTN/CACNA1S/TNNT2/LTB4R/MYL4/GJC1/JUP/NOTCH1/ARG2/PIK3CA/GAMT/TMEM38A/DAPK3/TBXA2R/CRYAB/FXYD1/SCN1B/TRPM4/MYOCD/ATP1A2/CACNG1/GNAO1/MYOC/RGS4/PTGER3/ABAT/SCNN1B/EDNRB/OXTR/G6PD/FLNA/NOS3/SNTA1/HDAC4/STAC3/DES/SGCD/ANXA6/MYOZ2/MYH1/MYH8/MYH3/CACNA1G/MAP2K6/KCNJ2/PDE4B/MLIP/PLN/SLC8A1/TRDN/DSC2/DTNA/SULF1/FBXO32/TPM2/F2R/TMOD1/PDE5A/NPNT/ANK2/CAMK2D/IL15/EDNRA/GUCY1A1/SORBS2/APBB2/CASQ2/RCSD1/DMD/PRKG1/PLCE1/ANKRD2/SCN3B/SCN4B/P2RX4/MSTN/CALCRL/TTN/CHRNA1/MYLK/BIN1/IGFBP5/PRKAG3",102
"GO:0006936","muscle contraction","85/1625","351/18903",6.5048840121293e-19,7.66795727349802e-16,6.2049746229385e-16,"TBX3/ADRA2B/PGAM2/TACR1/STC1/CHRND/KBTBD13/SYNM/KCNQ1/CSRP3/TPCN2/SLC9A1/MYOM3/CACNA2D1/PKP2/ABCC9/SMTN/CACNA1S/TNNT2/LTB4R/MYL4/GJC1/JUP/ARG2/PIK3CA/GAMT/TMEM38A/DAPK3/TBXA2R/CRYAB/FXYD1/SCN1B/TRPM4/MYOCD/ATP1A2/CACNG1/GNAO1/PTGER3/ABAT/SCNN1B/EDNRB/OXTR/FLNA/SNTA1/STAC3/DES/SGCD/ANXA6/MYH1/MYH8/MYH3/CACNA1G/MAP2K6/KCNJ2/PDE4B/PLN/SLC8A1/TRDN/DSC2/DTNA/SULF1/TPM2/F2R/TMOD1/PDE5A/NPNT/ANK2/CAMK2D/EDNRA/GUCY1A1/APBB2/CASQ2/RCSD1/DMD/PRKG1/PLCE1/ANKRD2/SCN3B/SCN4B/P2RX4/CALCRL/TTN/CHRNA1/MYLK/BIN1",85
"GO:0060537","muscle tissue development","85/1625","422/18903",7.21869581348625e-14,7.09116552078133e-11,5.73822995279056e-11,"TBX1/MYO18B/TBX3/EPHB1/CHRND/NR2F2/MEF2A/CSRP3/SLC9A1/SEMA3C/PKP2/MYF6/MYF5/CACNA1S/TNNT2/GJC1/NOTCH1/FLOT1/ZBTB18/ASB2/SAV1/NDRG4/MYOCD/MYLK3/ZFPM1/IRX3/RGS4/TGFBR3/SOX8/ITGA8/HDAC9/EFEMP2/G6PD/CAV2/KEL/YBX3/LEF1/STAC3/ITGA7/SGCD/MYOZ2/PDGFRB/EP300/CACNA1G/SOX9/S1PR1/TFAP2B/OSR1/COL19A1/PLN/VGLL2/SLC8A1/DLL1/HLX/RBM24/RIPOR2/FHOD3/ALPK2/PGM5/LRP2/PKD2/EDNRA/SORBS2/SGCB/SMYD1/POGLUT1/ADPRHL1/DMD/GJB6/RBP4/CDON/BARX2/BCL9L/COL3A1/MSTN/TTN/CHRNA1/XIRP2/TGFBR2/MYLK/IGFBP5/ACTN2/POPDC2/COL11A1/CENPF",85
"GO:1903522","regulation of blood circulation","61/1625","263/18903",4.73497434872577e-13,3.50583291559118e-10,2.83694907230254e-10,"ADRA2B/AGTR1/TACR1/STC1/MEF2A/KCNQ1/CSRP3/SLC9A1/CACNA2D1/PKP2/ABCC9/CELF2/TNNT2/MYL4/GJC1/JUP/THRA/ATP1B2/JAK2/TMEM38A/TBXA2R/S100A1/FXYD1/SCN1B/TRPM4/ATP1A2/IRX3/RGS4/CYP2J2/FAAH/EDNRB/OXTR/ATP2B2/FLNA/NOS3/SNTA1/DES/CACNA1G/KCNJ2/PDE4B/PLN/SLC8A1/TRDN/DSC2/F2R/PDE5A/ANK2/CAMK2D/EDNRA/CORIN/CASQ2/DMD/HSPB7/ADRB1/SCN3B/SCN4B/P2RX4/SMTNL2/BIN1/POPDC2/TMEM161B",61
"GO:0031589","cell-substrate adhesion","76/1625","369/18903",4.75851091359508e-13,3.50583291559118e-10,2.83694907230254e-10,"ANTXR1/EPHB1/LIMS2/SLC9A1/PKP2/VWF/LAMB4/MYF5/CD34/COL1A1/SGCE/JUP/NOTCH1/TNXB/FBLN5/FERMT2/NID2/ATP1B2/MADCAM1/JAK2/DAPK3/TECTA/MYADM/CDH13/MYOC/VCAM1/PKD1/NRP1/ITGA8/LAMB2/NTN4/FAM107A/FBLN2/ACTN4/EFEMP2/FLNA/CSPG5/ZYX/ANGPT1/ITGA7/ACVRL1/NDNF/ANGPT2/RIN2/ITGA9/EPDR1/MUC4/LAMA5/PTK2/TESK1/ITGA1/PIK3R1/EFNA5/NPNT/KDR/LIMCH1/ITGBL1/GAS6/EPHA3/ABI3BP/GPM6B/ARHGAP6/FZD4/LAMC3/ADAMTS13/PRKCZ/SORBS1/LDB1/ATRNL1/C1QBP/BCAS3/COL3A1/CCN1/NTNG1/ACTN2/ITGA10",76
"GO:0007517","muscle organ development","73/1625","348/18903",5.36209273749323e-13,3.51157495497612e-10,2.8415955781967e-10,"TBX1/KY/EPHB1/CHRND/NR2F2/MEF2A/CSRP3/ALX4/PKP2/SMTN/MYF6/MYF5/CACNA1S/TNNT2/SGCE/NOTCH1/FLOT1/ZBTB18/ASB2/CAPN3/CRYAB/MYOCD/ZFHX3/ZFPM1/TGFBR3/SOX8/HDAC9/EFEMP2/CAV2/KEL/YBX3/JPH1/LEF1/STAC3/ITGA7/DES/SGCD/MYOZ2/EP300/MYH3/S1PR1/COL19A1/VGLL2/DLL1/LAMA2/HLX/RBM24/RIPOR2/H1-5/LAMA5/CNTFR/LRP2/EDNRA/SGCB/SMYD1/CHODL/TCF15/DMD/ANKRD2/CDON/BARX2/BCL9L/UNC45B/COL3A1/MSTN/COL6A3/TTN/CHRNA1/XIRP2/MYLK/POPDC2/COL11A1/CENPF",73
"GO:0006941","striated muscle contraction","48/1625","181/18903",8.37758576288373e-13,4.93774904864367e-10,3.99566748332907e-10,"PGAM2/STC1/CHRND/KBTBD13/SYNM/KCNQ1/CSRP3/SLC9A1/CACNA2D1/PKP2/ABCC9/CACNA1S/TNNT2/MYL4/GJC1/JUP/ARG2/PIK3CA/TMEM38A/SCN1B/TRPM4/ATP1A2/FLNA/SNTA1/STAC3/SGCD/MYH8/MYH3/CACNA1G/MAP2K6/KCNJ2/PDE4B/PLN/SLC8A1/DSC2/DTNA/PDE5A/ANK2/CAMK2D/CASQ2/RCSD1/DMD/SCN3B/SCN4B/P2RX4/TTN/CHRNA1/BIN1",48
